ID,lat,lng,street,city,country
669,40.1815025,44.5108536,Yeznik Koghbatsi St,Yerevan,Armenia
670,40.1567434,44.5017089,Arshakunyats Ave,Yerevan,Armenia
671,40.189117,44.4942722,Dzorapi Street,Yerevan,Armenia
672,40.183731,44.5111862,Mesrop Mashtots Ave,Yerevan,Armenia
673,40.1994399,44.4794483,Halabyan St,Yerevan,Armenia
674,40.1878405,44.52007769999999,Teryan,Yerevan,Armenia
675,40.1798593,44.5250268,Alek Manukyan St,Yerevan,Armenia
677,40.1567434,44.5017089,Arshakunyats Ave,Yerevan,Armenia
678,40.1820773,44.5146677,Northern Ave,Yerevan,Armenia
679,40.18155369999999,44.4844405,Tsitsernakaberd Hwy,Yerevan,Armenia
680,40.1851571,44.52059999999999,Abovyan St,Yerevan,Armenia
681,40.2057999,44.5062259,Komitas Ave,Yerevan,Armenia
682,40.1567434,44.5017089,Arshakunyats Ave,Yerevan,Armenia
684,40.2003784,44.4958383,Gyulbenkyan St,Yerevan,Armenia
685,40.1778973,44.5189876,Hanrapetutyan St,Yerevan,Armenia
686,40.1904795,44.5093113,National Assembly ofArmenia; 19 Marshal Baghramyan Ave,Yerevan,Armenia
687,40.183731,44.5111862,Mesrop Mashtots Ave,Yerevan,Armenia
688,40.1820619,44.5208837,Sayat-Nova Ave,Yerevan,Armenia
689,40.5344006,44.7194932,Orbeli Brothers St, Tsaghkadzor 2310,Armenia
690,40.183731,44.5111862,Mesrop Mashtots Ave,Yerevan,Armenia
691,40.1778973,44.5189876,Hanrapetutyan St,Yerevan,Armenia
692,40.1820619,44.5208837,Sayat-Nova Ave,Yerevan,Armenia
693,40.1815734,44.520049,Nalbandyan St,Yerevan,Armenia
694,40.1878405,44.52007769999999,Teryan,Yerevan,Armenia
695,40.1796961,44.5004573,Paronyan St,Yerevan,Armenia
696,40.1829508,44.5166621,Tumanyan St,Yerevan,Armenia
697,40.1820619,44.5208837,Sayat-Nova Ave,Yerevan,Armenia
698,40.1860168,44.5183665,Teryan St,Yerevan,Armenia
699,40.1801152,44.51284649999999,Aram Street,Yerevan,Armenia
700,40.1820619,44.5208837,Sayat-Nova Ave,Yerevan,Armenia
701,40.1851571,44.52059999999999,Abovyan St,Yerevan,Armenia
702,40.178527,44.5156252,Republic Square; Aram Street,Yerevan,Armenia
703,40.1796961,44.5004573,Paronyan St,Yerevan,Armenia
706,40.2057999,44.5062259,Komitas Ave,Yerevan,Armenia
707,40.1793718,44.5019252,Leo St,Yerevan,Armenia
708,40.1851571,44.52059999999999,Abovyan St,Yerevan,Armenia
709,40.1828222,44.512412,Pushkin St,Yerevan,Armenia
710,40.183731,44.5111862,Mesrop Mashtots Ave,Yerevan,Armenia
711,40.18155369999999,44.4844405,Tsitsernakaberd Hwy,Yerevan,Armenia
713,40.183731,44.5111862,Mesrop Mashtots Ave,Yerevan,Armenia
714,40.1820619,44.5208837,Sayat-Nova Ave,Yerevan,Armenia
715,40.2003784,44.4958383,Gyulbenkyan St,Yerevan,Armenia
716,40.2057999,44.5062259,Komitas Ave,Yerevan,Armenia
717,40.1820773,44.5146677,Northern Ave,Yerevan,Armenia
718,40.1798593,44.5250268,Alek Manukyan St,Yerevan,Armenia
719,40.1851571,44.52059999999999,Abovyan St,Yerevan,Armenia
720,40.1848526,44.5981861,Jrvezh,Yerevan,Armenia
721,40.2057999,44.5062259,Komitas Ave,Yerevan,Armenia
722,40.1912848,44.4706607,Leningradyan St,Yerevan,Armenia
723,40.1922371,44.5041657,Marshal Baghramyan Ave,Yerevan,Armenia
724,40.1820619,44.5208837,Sayat-Nova Ave,Yerevan,Armenia
725,40.1820773,44.5146677,Northern Ave,Yerevan,Armenia
726,40.2165996,44.5770075,Isahakyan,Yerevan,Armenia
729,40.1828222,44.512412,Pushkin St,Yerevan,Armenia
730,40.1820773,44.5146677,Northern Ave,Yerevan,Armenia
731,40.1668828,44.5146355,Movses Khorenatsi Street,Yerevan,Armenia
732,40.1828222,44.512412,Pushkin St,Yerevan,Armenia
733,40.1829508,44.5166621,Tumanyan St,Yerevan,Armenia
734,40.1815734,44.520049,Nalbandyan St,Yerevan,Armenia
735,40.2165996,44.5770075,Isahakyan,Yerevan,Armenia
